created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text,keywords_matched
2024-12-10T15:06:26.000Z,"Kentucky, USA",,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-10T13:26:42.000Z,Adirondacks,,,,False,"[ORGANIZATION] is a great example of this. In [ORGANIZATION] they shut down the mental health hospital, forcing patients onto the streets.

In [LOCATION], the city celebrated ""ending chronic homelessness"", when really those mental health patients had died or been incarcerated. [URL]","homeless, homelessness"
2024-12-10T02:03:34.000Z,Not Your Concern,,,,True,"[PERSON] ORG0Bills [PERSON], who experienced homelessness as a child,  honored the man who changed his life: his 'Big Broth…","homeless, homelessness"
2024-12-10T01:55:39.000Z,🇺🇸🇺🇸🇺🇸TEXAS🇺🇸🇺🇸🇺🇸,,,,False,"ORG0Bills [PERSON], who experienced homelessness as a child,  honored the man who changed his life: his 'Big Brother,' PERSON1.  PERSON2 is ORG1 with the story of their extraordinary  bond. [URL]","homeless, homelessness"
2024-12-10T00:22:45.000Z,"San Francisco, California",,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-09T23:53:03.000Z,"The Woodlands, TX U.S.A",,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-09T19:43:57.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-09T19:42:41.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-09T18:05:43.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
2024-12-09T17:26:51.000Z,"Washington, D.C.",,,,True,[PERSON]: .ORG0 programs help you become a part of something bigger. See how ORG0NCCC members helped build affordable h…,
2024-12-09T15:06:30.000Z,"Buffalo, NY",,,,False,"✅ hats
✅ socks
✅ jackets
✅ gloves
✅ mittens
✅ sweatshirts
✅ sweatpants
✅ hand warmers
✅ foot warmers

You can bring your items to the [ORGANIZATION] office at 181 Ellicott [STREET], [ORGANIZATION]. Donations will benefit individuals experiencing homelessness. ❤️","homeless, homelessness"
2024-12-09T15:00:01.000Z,"Hastings, Kearney, & GI, NE",,,,False,THANK YOU [ORGANIZATION] for participating in Give Where You Live Day! Your generous donations have enabled [ORGANIZATION] to update our [ORGANIZATION] Kitchen to provide food services for even more hurting &amp; homeless [ORGANIZATION] families in [ORGANIZATION]!  [URL] [URL],homeless
2024-12-09T11:41:02.000Z,,,,,True,"RT @CBSEveningNews: [PERSON] rookie @Ray_Davis07, who experienced homelessness as a child, honored the man who changed his life: his '…","homeless, homelessness"
